Top Country,Mobile Top 10,Place,Number,Lat,Lng,Bottom Country,Mobile Bottom 10,Place,Number,Lat,Lng
China,"1,464.27",1,10,35.000074,104.999927,Estonia,1.89,1,-10,58.7523778,25.3319078
India,"1,136.05",2,9,22.3511148,78.6677428,Trinidad & Tobago,2.12,2,-9,10.691,61.222
United States,410.92,3,8,39.7837304,-100.445882,Latvia,2.35,3,-8,56.8406494,24.7537645
Indonesia,361.96,4,7,-2.4833826,117.8902853,Bahrain,2.37,4,-7,26.1551249,50.5344606
Russia,235.72,5,6,64.6863136,97.7453061,Namibia,2.73,5,-6,-23.2335499,17.3231107
Brazil,227.95,6,5,-10.3333333,-53.2,Jamaica,2.86,6,-5,18.1096.,77.29
Japan,172.96,7,4,36.5748441,139.2394179,Gabon,2.96,7,-4,-0.8999695,11.6899699
Nigeria,165.52,8,3,9.6000359,7.9999721,Liberia,3.08,8,-3,5.7499721,-9.3658524
Bangladesh,150.52,9,2,24.4769288,90.2934413,Botswana,3.48,9,-2,-23.1681782,24.5928742
Pakistan,147.97,10,1,30.3308401,71.247499,Mongolia,3.86,10,-1,46.8250388,103.8499736
